X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561187.960726599,2076027.37264633,0.0,0.0,0.0,371.19952,0.72799,4.0,0.0,0.00151,18.774960180526886,105.58057494055967,18.774960180526886,105.58057494055967
561203.01275934,2076395.82746097,0.0,0.0,0.0,159.27946,6.12755,5.0,0.0,0.00207,18.778289623632425,105.58072916025515,18.778289623632425,105.58072916025515
561206.900615345,2076355.94920382,1.61394,6.81846,0.0,167.47118,5.57472,4.0,0.0,0.00221,18.777929111846564,105.58076481441553,18.777929111846564,105.58076481441553
561228.512428745,2077515.75635262,0.0,0.0,0.0,21.57553,21.79172,4.0,0.0,0.00119,18.788410149510415,105.58100580341369,18.788410149510415,105.58100580341369
561237.526407089,2076505.20131971,0.0,0.0,0.0,76.28103,8.35527,6.0,0.0,0.00196,18.779277064580427,105.58106002109324,18.779277064580427,105.58106002109324
561247.653873969,2076189.53289666,1.80766,5.18275,0.30142,206.09999,3.22073,6.0,0.0,0.00256,18.77642393314521,105.58114633369195,18.77642393314521,105.58114633369195
561251.12424222,2076545.66983406,0.0,0.0,0.0,58.0939,9.01725,3.0,0.0,0.00208,18.779642394786066,105.58119029489042,18.779642394786066,105.58119029489042
561255.589446305,2076062.55158496,1.64061,5.28118,0.32224,309.10291,1.35495,7.0,0.0,0.00297,18.775276113506973,105.58121769331262,18.775276113506973,105.58121769331262
561299.456447005,2077542.84765278,2.15396,6.0902,0.0,34.11391,22.47216,4.0,0.0,0.00195,18.788652889775168,105.5816798159273,18.788652889775168,105.5816798159273
561324.694398089,2076650.8957701,0.0,0.0,0.0,21.57553,10.20225,4.0,0.0,0.0023,18.780591194304023,105.58189161402241,18.780591194304023,105.58189161402241
561334.792345014,2076475.22507516,1.78331,5.44987,0.30122,0.0,8.39286,6.0,0.0,0.00295,18.77900328410961,105.58198197601398,18.77900328410961,105.58198197601398
561335.492821085,2075978.73533557,1.38065,5.1881,0.30142,361.83267,0.68786,8.0,0.0,0.00347,18.774516270217173,105.58197321991338,18.774516270217173,105.58197321991338
561346.549988864,2076088.42330629,2.5119,5.07492,0.29345,243.3831,1.89422,7.0,0.0,0.00384,18.775507241451525,105.58208153333786,18.775507241451525,105.58208153333786
