X,Y,lat,lon,population_density,road_density,time,flood_prob,risk_class
564722.977737773,2077680.82912667,18.78979588367819,105.61416930430904,1.39751,0.00359,2026-03-14 07:00:00,0.0939058144459876,Low
564712.218097529,2077993.15029961,18.79261878039206,105.61407743997434,3.65319,0.00283,2026-03-14 07:00:00,0.09448088517855961,Low
564708.984526406,2077602.6552325,18.7890898339825,105.61403396498058,1.16359,0.00409,2026-03-14 07:00:00,0.08858079904591531,Low
563156.884587792,2078693.15253947,18.798992920945793,105.59934131467433,0.0,0.00307,2026-03-14 07:00:00,0.20117845117845115,Low
564691.318323175,2077473.12212597,18.78791974644344,105.61386209321171,1.56692,0.00518,2026-03-14 07:00:00,0.0,
562496.007664615,2076510.74340835,18.779289636434093,105.59300098690775,0.05457,0.00562,2026-03-14 07:00:00,0.14867668937436382,Low
562490.52016145,2077375.17165539,18.787101993980155,105.59297625298598,2.07138,0.00987,2026-03-14 07:00:00,0.0,
562485.281885768,2079103.13655676,18.802718459160868,105.592981221995,0.0,0.00195,2026-03-14 07:00:00,0.0,
562476.610593128,2077523.00492188,18.78843844212016,105.59284894422701,1.61595,0.01032,2026-03-14 07:00:00,0.0,
562474.618911659,2076996.52229379,18.78368046417859,105.59281339970953,0.27428,0.00907,2026-03-14 07:00:00,0.0,
562470.944931959,2077948.77348608,18.79228645491342,105.59280864863072,0.10789,0.00985,2026-03-14 07:00:00,0.7619047619047619,High
562469.254690308,2076216.25760746,18.77662905139879,105.59273784282284,0.0,0.00466,2026-03-14 07:00:00,0.7333333333333334,High
562465.814296458,2076369.76143583,18.778016432872516,105.59271005003927,0.0,0.00513,2026-03-14 07:00:00,0.029666070363744784,Low
562465.264258965,2079013.19229629,18.801906201041835,105.59278841726969,0.0,0.00262,2026-03-14 07:00:00,0.04516994633273703,Low
562464.288716775,2076494.9034966,18.779147439484017,105.59269952919851,0.08512,0.00566,2026-03-14 07:00:00,0.689922480620155,High
562461.299464571,2076264.42680411,18.77706461588457,105.5926638846309,0.0,0.00499,2026-03-14 07:00:00,0.20117845117845115,Low
562459.404134972,2076059.62660627,18.775213808098865,105.59263943192236,0.0,0.00327,2026-03-14 07:00:00,0.0,
562458.395135528,2077208.94235719,18.785600679577982,105.59266617432593,0.91165,0.0099,2026-03-14 07:00:00,0.212354980614928,Low
562444.220823297,2076329.16362665,18.77765018335073,105.59250388507384,0.0,0.00518,2026-03-14 07:00:00,0.019743589743589744,Low
